,Year,Season,region,NOC,Bronze,Gold,NoMedal,Silver,Total_Medals
0,1900,Summer,Argentina,ARG,0,0,1.0,0,0
1,1900,Summer,Australia,AUS,3,3,0.0,0,6
2,1900,Summer,Austria,AUT,3,0,20.0,3,6
3,1900,Summer,Belgium,BEL,12,4,47.0,24,40
4,1900,Summer,Brazil,BRA,0,0,3.0,0,0
5,1900,Summer,Canada,CAN,1,1,5.0,0,2
6,1900,Summer,Colombia,COL,0,0,0.0,1,1
7,1900,Summer,Cuba,CUB,0,1,0.0,1,2
8,1900,Summer,Czech Republic,BOH,2,0,6.0,1,3
9,1900,Summer,Denmark,DEN,2,3,21.0,3,8
10,1900,Summer,France,FRA,66,42,762.0,83,191
11,1900,Summer,Germany,GER,11,13,56.0,19,43
12,1900,Summer,Greece,GRE,0,0,4.0,0,0
13,1900,Summer,Haiti,HAI,0,1,3.0,0,1
14,1900,Summer,Hungary,HUN,2,1,29.0,2,5
15,1900,Summer,India,IND,0,0,3.0,2,2
16,1900,Summer,Iran,IRI,0,0,1.0,0,0
17,1900,Summer,Italy,ITA,0,3,29.0,2,5
18,1900,Summer,Luxembourg,LUX,0,1,0.0,0,1
19,1900,Summer,Netherlands,NED,14,3,26.0,6,23
20,1900,Summer,New Zealand,NZL,0,1,0.0,0,1
21,1900,Summer,Norway,NOR,3,0,12.0,4,7
22,1900,Summer,Peru,PER,0,0,2.0,0,0
23,1900,Summer,Romania,ROU,0,0,1.0,0,0
24,1900,Summer,Russia,RUS,0,0,5.0,0,0
25,1900,Summer,Spain,ESP,0,2,9.0,0,2
26,1900,Summer,Sweden,SWE,1,3,22.0,0,4
27,1900,Summer,Switzerland,SUI,1,10,18.0,2,13
28,1900,Summer,UK,GBR,14,55,31.0,31,100
29,1900,Summer,USA,USA,16,29,69.0,15,60
30,1904,Summer,Australia,AUS,1,0,2.0,3,4
31,1904,Summer,Austria,AUT,1,2,3.0,1,4
32,1904,Summer,Canada,CAN,12,26,12.0,8,46
33,1904,Summer,Canada,NFL,0,0,1.0,0,0
34,1904,Summer,Cuba,CUB,0,5,0.0,0,5
35,1904,Summer,France,FRA,0,0,0.0,2,2
36,1904,Summer,Germany,GER,7,4,39.0,5,16
37,1904,Summer,Greece,GRE,1,1,15.0,0,2
38,1904,Summer,Hungary,HUN,1,2,5.0,1,4
39,1904,Summer,Italy,ITA,0,0,1.0,0,0
40,1904,Summer,Norway,NOR,0,2,4.0,0,2
41,1904,Summer,South Africa,RSA,0,0,8.0,0,0
42,1904,Summer,Switzerland,SUI,2,1,4.0,0,3
43,1904,Summer,UK,GBR,0,1,3.0,1,2
44,1904,Summer,USA,USA,109,113,649.0,120,342
45,1906,Summer,Australia,AUS,3,0,7.0,0,3
46,1906,Summer,Austria,AUT,3,2,90.0,2,7
47,1906,Summer,Belgium,BEL,6,0,20.0,3,9
48,1906,Summer,Canada,CAN,0,1,2.0,1,2
49,1906,Summer,Czech Republic,BOH,3,0,26.0,0,3
50,1906,Summer,Denmark,DEN,1,14,33.0,19,34
51,1906,Summer,Egypt,EGY,0,0,5.0,0,0
52,1906,Summer,Finland,FIN,0,1,11.0,1,2
53,1906,Summer,France,FRA,21,15,73.0,14,50
54,1906,Summer,Germany,GER,6,13,121.0,10,29
55,1906,Summer,Greece,GRE,29,24,361.0,47,100
56,1906,Summer,Greece,CRT,0,0,11.0,0,0
57,1906,Summer,Hungary,HUN,3,5,86.0,5,13
58,1906,Summer,Italy,ITA,27,21,47.0,7,55
59,1906,Summer,Netherlands,NED,4,0,40.0,1,5
60,1906,Summer,Norway,NOR,0,20,27.0,4,24
61,1906,Summer,Sweden,SWE,14,2,69.0,5,21
62,1906,Summer,Switzerland,SUI,1,3,24.0,1,5
63,1906,Summer,UK,GBR,6,8,63.0,18,32
64,1906,Summer,USA,USA,6,12,53.0,6,24
65,1908,Summer,Argentina,ARG,0,0,1.0,0,0
66,1908,Summer,Australia,ANZ,2,15,29.0,2,19
67,1908,Summer,Austria,AUT,1,0,11.0,0,1
68,1908,Summer,Belgium,BEL,7,1,65.0,24,32
69,1908,Summer,Canada,CAN,27,14,91.0,6,47
70,1908,Summer,Czech Republic,BOH,4,0,33.0,0,4
71,1908,Summer,Denmark,DEN,3,0,79.0,14,17
72,1908,Summer,Finland,FIN,27,1,56.0,1,29
73,1908,Summer,France,FRA,16,10,252.0,4,30
74,1908,Summer,Germany,GER,6,4,118.0,11,21
75,1908,Summer,Greece,GRE,0,0,38.0,2,2
76,1908,Summer,Hungary,HUN,6,7,85.0,6,19
77,1908,Summer,Iceland,ISL,0,0,1.0,0,0
78,1908,Summer,Italy,ITA,0,2,87.0,5,7
79,1908,Summer,Netherlands,NED,16,0,181.0,0,16
80,1908,Summer,Norway,NOR,2,5,50.0,31,38
81,1908,Summer,Russia,RUS,0,1,4.0,2,3
82,1908,Summer,South Africa,RSA,0,1,29.0,1,2
83,1908,Summer,Sweden,SWE,16,45,183.0,14,75
84,1908,Summer,Switzerland,SUI,0,0,1.0,0,0
85,1908,Summer,UK,GBR,70,117,525.0,105,292
86,1908,Summer,USA,USA,14,25,137.0,15,54
87,1912,Summer,Australia,ANZ,3,5,28.0,2,10
88,1912,Summer,Austria,AUT,5,0,109.0,9,14
89,1912,Summer,Belgium,BEL,10,7,49.0,1,18
90,1912,Summer,Canada,CAN,3,3,49.0,2,8
91,1912,Summer,Chile,CHI,0,0,24.0,0,0
92,1912,Summer,Czech Republic,BOH,0,0,70.0,0,0
93,1912,Summer,Denmark,DEN,28,5,122.0,47,80
94,1912,Summer,Finland,FIN,13,9,140.0,35,57
95,1912,Summer,France,FRA,4,9,150.0,9,22
96,1912,Summer,Germany,GER,20,9,234.0,18,47
97,1912,Summer,Greece,GRE,1,1,39.0,0,2
98,1912,Summer,Hungary,HUN,3,9,165.0,15,27
99,1912,Summer,Iceland,ISL,0,0,2.0,0,0
100,1912,Summer,Italy,ITA,2,21,67.0,1,24
101,1912,Summer,Japan,JPN,0,0,4.0,0,0
102,1912,Summer,Luxembourg,LUX,0,0,42.0,0,0
103,1912,Summer,Netherlands,NED,25,0,17.0,0,25
104,1912,Summer,Norway,NOR,34,36,158.0,2,72
105,1912,Summer,Poland,POL,0,0,1.0,0,0
106,1912,Summer,Portugal,POR,0,0,8.0,0,0
107,1912,Summer,Russia,RUS,4,0,213.0,4,8
108,1912,Summer,Serbia,SRB,0,0,2.0,0,0
109,1912,Summer,South Africa,RSA,0,4,38.0,1,5
110,1912,Summer,Sweden,SWE,22,94,462.0,57,173
111,1912,Summer,Switzerland,SUI,0,0,2.0,0,0
112,1912,Summer,Turkey,TUR,0,0,7.0,0,0
113,1912,Summer,UK,GBR,56,43,230.0,41,140
114,1912,Summer,USA,USA,31,31,210.0,20,82
115,1920,Summer,Argentina,ARG,0,0,1.0,0,0
116,1920,Summer,Australia,AUS,1,0,22.0,6,7
117,1920,Summer,Belgium,BEL,59,46,292.0,53,158
118,1920,Summer,Brazil,BRA,3,1,27.0,1,5
119,1920,Summer,Canada,CAN,2,10,58.0,2,14
120,1920,Summer,Chile,CHI,0,0,2.0,0,0
121,1920,Summer,Czech Republic,TCH,9,0,150.0,0,9
122,1920,Summer,Denmark,DEN,1,23,137.0,41,65
123,1920,Summer,Egypt,EGY,0,0,22.0,0,0
124,1920,Summer,Estonia,EST,0,1,17.0,2,3
125,1920,Summer,Finland,FIN,13,19,68.0,12,44
126,1920,Summer,France,FRA,44,11,250.0,37,92
127,1920,Summer,Greece,GRE,0,0,93.0,5,5
128,1920,Summer,India,IND,0,0,7.0,0,0
129,1920,Summer,Italy,ITA,8,58,199.0,7,73
130,1920,Summer,Japan,JPN,0,0,23.0,3,3
131,1920,Summer,Luxembourg,LUX,0,0,34.0,0,0
132,1920,Summer,Monaco,MON,0,0,7.0,0,0
133,1920,Summer,Netherlands,NED,19,9,97.0,9,37
134,1920,Summer,New Zealand,NZL,1,0,5.0,0,1
135,1920,Summer,Norway,NOR,19,27,102.0,40,86
136,1920,Summer,Portugal,POR,0,0,35.0,0,0
137,1920,Summer,Serbia,YUG,0,0,15.0,0,0
138,1920,Summer,South Africa,RSA,6,3,54.0,9,18
139,1920,Summer,Spain,ESP,0,0,66.0,20,20
140,1920,Summer,Sweden,SWE,55,51,219.0,27,133
141,1920,Summer,Switzerland,SUI,17,6,84.0,2,25
142,1920,Summer,UK,GBR,17,39,180.0,37,93
143,1920,Summer,USA,USA,32,87,248.0,42,161
144,1924,Summer,Argentina,ARG,1,4,93.0,3,8
145,1924,Summer,Australia,AUS,2,3,47.0,5,10
146,1924,Summer,Austria,AUT,1,0,48.0,2,3
147,1924,Summer,Belgium,BEL,6,2,165.0,25,33
148,1924,Summer,Brazil,BRA,0,0,18.0,0,0
149,1924,Summer,Bulgaria,BUL,0,0,31.0,0,0
150,1924,Summer,Canada,CAN,1,0,57.0,13,14
151,1924,Summer,Chile,CHI,0,0,18.0,0,0
152,1924,Summer,Cuba,CUB,0,0,8.0,0,0
153,1924,Summer,Czech Republic,TCH,5,1,205.0,4,10
154,1924,Summer,Denmark,DEN,2,2,119.0,5,9
155,1924,Summer,Ecuador,ECU,0,0,4.0,0,0
156,1924,Summer,Egypt,EGY,0,0,30.0,0,0
157,1924,Summer,Estonia,EST,4,1,41.0,1,6
158,1924,Summer,Finland,FIN,11,23,173.0,12,46
159,1924,Summer,France,FRA,17,27,410.0,46,90
160,1924,Summer,Greece,GRE,0,0,71.0,0,0
161,1924,Summer,Haiti,HAI,5,0,11.0,0,5
162,1924,Summer,Hungary,HUN,6,2,96.0,7,15
163,1924,Summer,India,IND,0,0,20.0,0,0
164,1924,Summer,Ireland,IRL,0,0,50.0,0,0
165,1924,Summer,Italy,ITA,16,20,254.0,4,40
166,1924,Summer,Japan,JPN,1,0,36.0,0,1
167,1924,Summer,Latvia,LAT,0,0,45.0,0,0
168,1924,Summer,Lithuania,LTU,0,0,13.0,0,0
169,1924,Summer,Luxembourg,LUX,0,1,118.0,1,2
170,1924,Summer,Mexico,MEX,0,0,28.0,0,0
171,1924,Summer,Monaco,MON,1,0,7.0,0,1
172,1924,Summer,Netherlands,NED,12,8,159.0,1,21
173,1924,Summer,New Zealand,NZL,1,0,4.0,0,1
174,1924,Summer,Norway,NOR,2,6,56.0,0,8
175,1924,Summer,Philippines,PHI,0,0,2.0,0,0
176,1924,Summer,Poland,POL,1,0,90.0,4,5
177,1924,Summer,Portugal,POR,3,0,28.0,0,3
178,1924,Summer,Romania,ROU,16,0,27.0,0,16
179,1924,Summer,Russia,RUS,0,0,2.0,0,0
180,1924,Summer,Serbia,YUG,0,2,111.0,0,2
181,1924,Summer,South Africa,RSA,1,1,33.0,1,3
182,1924,Summer,Spain,ESP,0,0,144.0,0,0
183,1924,Summer,Sweden,SWE,38,5,148.0,14,57
184,1924,Summer,Switzerland,SUI,21,13,190.0,25,59
185,1924,Summer,Turkey,TUR,0,0,22.0,0,0
186,1924,Summer,UK,GBR,15,14,304.0,28,57
187,1924,Summer,USA,USA,44,85,218.0,30,159
188,1924,Summer,Uruguay,URU,0,14,25.0,0,14
189,1924,Winter,Australia,AUS,0,1,0.0,0,1
190,1924,Winter,Austria,AUT,0,3,0.0,1,4
191,1924,Winter,Belgium,BEL,5,0,26.0,0,5
192,1924,Winter,Canada,CAN,0,9,8.0,0,9
193,1924,Winter,Czech Republic,TCH,0,0,27.0,0,0
194,1924,Winter,Finland,FIN,3,4,18.0,6,13
195,1924,Winter,France,FRA,7,0,53.0,0,7
196,1924,Winter,Hungary,HUN,0,0,6.0,0,0
197,1924,Winter,India,IND,0,7,0.0,0,7
198,1924,Winter,Italy,ITA,0,0,24.0,0,0
199,1924,Winter,Latvia,LAT,0,0,7.0,0,0
200,1924,Winter,Nepal,NEP,0,1,0.0,0,1
201,1924,Winter,Norway,NOR,6,4,18.0,7,17
202,1924,Winter,Poland,POL,0,0,15.0,0,0
203,1924,Winter,Serbia,YUG,0,0,7.0,0,0
204,1924,Winter,Sweden,SWE,0,1,32.0,1,2
205,1924,Winter,Switzerland,SUI,1,8,28.0,0,9
206,1924,Winter,UK,GBR,10,6,14.0,3,19
207,1924,Winter,USA,USA,1,1,27.0,10,12
208,1928,Summer,Argentina,ARG,5,3,71.0,18,26
209,1928,Summer,Australia,AUS,1,1,25.0,2,4
210,1928,Summer,Austria,AUT,2,3,64.0,0,5
211,1928,Summer,Belgium,BEL,4,0,230.0,1,5
212,1928,Summer,Bulgaria,BUL,0,0,7.0,0,0
213,1928,Summer,Canada,CAN,21,7,72.0,5,33
214,1928,Summer,Chile,CHI,0,0,45.0,1,1
215,1928,Summer,Cuba,CUB,0,0,1.0,0,0
216,1928,Summer,Czech Republic,TCH,2,2,120.0,12,16
217,1928,Summer,Denmark,DEN,3,6,80.0,4,13
218,1928,Summer,Egypt,EGY,1,2,39.0,1,4
219,1928,Summer,Estonia,EST,5,2,14.0,0,7
220,1928,Summer,Finland,FIN,7,7,107.0,8,22
221,1928,Summer,France,FRA,13,6,293.0,15,34
222,1928,Summer,Germany,GER,34,16,196.0,12,62
223,1928,Summer,Greece,GRE,0,0,47.0,0,0
224,1928,Summer,Haiti,HAI,0,0,2.0,1,1
225,1928,Summer,Hungary,HUN,0,5,142.0,8,13
226,1928,Summer,India,IND,0,14,10.0,0,14
227,1928,Summer,Ireland,IRL,0,1,38.0,0,1
228,1928,Summer,Italy,ITA,25,19,167.0,15,59
229,1928,Summer,Japan,JPN,1,2,42.0,6,9
230,1928,Summer,Latvia,LAT,0,0,19.0,0,0
231,1928,Summer,Lithuania,LTU,0,0,13.0,0,0
232,1928,Summer,Luxembourg,LUX,0,0,101.0,0,0
233,1928,Summer,Malta,MLT,0,0,9.0,0,0
234,1928,Summer,Mexico,MEX,0,0,39.0,0,0
235,1928,Summer,Monaco,MON,0,0,11.0,0,0
236,1928,Summer,Netherlands,NED,3,17,238.0,19,39
237,1928,Summer,New Zealand,NZL,0,1,12.0,0,1
238,1928,Summer,Norway,NOR,1,3,48.0,2,6
239,1928,Summer,Panama,PAN,0,0,2.0,0,0
240,1928,Summer,Philippines,PHI,1,0,5.0,0,1
241,1928,Summer,Poland,POL,13,2,75.0,2,17
242,1928,Summer,Portugal,POR,2,0,27.0,0,2
243,1928,Summer,Romania,ROU,0,0,33.0,0,0
244,1928,Summer,Serbia,YUG,10,1,74.0,1,12
245,1928,Summer,South Africa,RSA,5,1,33.0,0,6
246,1928,Summer,Spain,ESP,0,3,97.0,0,3
247,1928,Summer,Sweden,SWE,18,6,85.0,4,28
248,1928,Summer,Switzerland,SUI,3,15,189.0,9,27
249,1928,Summer,Turkey,TUR,0,0,39.0,0,0
250,1928,Summer,UK,GBR,23,6,204.0,26,55
251,1928,Summer,USA,USA,16,44,245.0,23,83
252,1928,Summer,Uruguay,URU,0,17,0.0,0,17
253,1928,Summer,Zimbabwe,ZIM,0,0,2.0,0,0
254,1928,Winter,Argentina,ARG,0,0,8.0,0,0
255,1928,Winter,Austria,AUT,2,0,41.0,4,6
256,1928,Winter,Belgium,BEL,1,0,24.0,0,1
257,1928,Winter,Canada,CAN,0,12,19.0,0,12
258,1928,Winter,Czech Republic,TCH,1,0,25.0,0,1
259,1928,Winter,Estonia,EST,0,0,6.0,0,0
260,1928,Winter,Finland,FIN,1,2,21.0,0,3
261,1928,Winter,France,FRA,0,2,42.0,0,2
262,1928,Winter,Germany,GER,5,0,40.0,0,5
263,1928,Winter,Hungary,HUN,0,0,12.0,0,0
264,1928,Winter,Italy,ITA,0,0,15.0,0,0
265,1928,Winter,Japan,JPN,0,0,10.0,0,0
266,1928,Winter,Latvia,LAT,0,0,3.0,0,0
267,1928,Winter,Lithuania,LTU,0,0,4.0,0,0
268,1928,Winter,Luxembourg,LUX,0,0,3.0,0,0
269,1928,Winter,Mexico,MEX,0,0,5.0,0,0
270,1928,Winter,Netherlands,NED,0,0,7.0,0,0
271,1928,Winter,Norway,NOR,5,5,19.0,4,14
272,1928,Winter,Poland,POL,0,0,26.0,0,0
273,1928,Winter,Romania,ROU,0,0,10.0,0,0
274,1928,Winter,Serbia,YUG,0,0,8.0,0,0
275,1928,Winter,Sweden,SWE,1,2,14.0,13,16
276,1928,Winter,Switzerland,SUI,12,0,29.0,0,12
277,1928,Winter,UK,GBR,1,0,35.0,0,1
278,1928,Winter,USA,USA,2,4,26.0,4,10
279,1932,Summer,Argentina,ARG,0,3,39.0,1,4
280,1932,Summer,Australia,AUS,1,3,13.0,1,5
281,1932,Summer,Austria,AUT,3,1,10.0,1,5
282,1932,Summer,Belgium,BEL,1,0,62.0,0,1
283,1932,Summer,Brazil,BRA,0,0,63.0,0,0
284,1932,Summer,Bulgaria,BUL,0,0,1.0,0,0
285,1932,Summer,Canada,CAN,23,2,105.0,8,33
286,1932,Summer,China,CHN,0,0,2.0,0,0
287,1932,Summer,Colombia,COL,0,0,1.0,0,0
288,1932,Summer,Cuba,CUB,0,0,3.0,0,0
289,1932,Summer,Czech Republic,TCH,1,1,18.0,2,4
290,1932,Summer,Denmark,DEN,4,0,38.0,6,10
291,1932,Summer,El Salvador,ESA,0,0,4.0,0,0
292,1932,Summer,Estonia,EST,0,0,3.0,0,0
293,1932,Summer,Finland,FIN,15,5,36.0,7,27
294,1932,Summer,France,FRA,6,13,57.0,6,25
295,1932,Summer,Germany,GER,4,10,77.0,25,39
296,1932,Summer,Greece,GRE,0,0,16.0,0,0
297,1932,Summer,Guatemala,GUA,0,0,1.0,0,0
298,1932,Summer,Haiti,HAI,0,0,3.0,0,0
299,1932,Summer,Hungary,HUN,8,15,52.0,4,27
300,1932,Summer,India,IND,0,15,11.0,0,15
301,1932,Summer,Ireland,IRL,0,2,12.0,0,2
302,1932,Summer,Italy,ITA,16,20,70.0,33,69
303,1932,Summer,Japan,JPN,4,10,144.0,16,30
304,1932,Summer,Latvia,LAT,0,0,4.0,1,1
305,1932,Summer,Mexico,MEX,0,0,94.0,2,2
306,1932,Summer,Monaco,MON,0,0,1.0,0,0
307,1932,Summer,Netherlands,NED,0,1,31.0,9,10
308,1932,Summer,New Zealand,NZL,0,0,27.0,2,2
309,1932,Summer,Norway,NOR,0,0,7.0,0,0
310,1932,Summer,Peru,PER,0,0,3.0,0,0
311,1932,Summer,Philippines,PHI,3,0,5.0,0,3
