,Year,NOC,Host_Country,Bronze,Gold,Silver,Total_Medals,region,Season,Is_Host
0,1896,AUS,Greece,1,2,0,3,,,
1,1896,AUT,Greece,2,2,1,5,,,
2,1896,DEN,Greece,3,1,2,6,,,
3,1896,FRA,Greece,2,5,4,11,,,
4,1896,GBR,Greece,3,3,3,9,,,
5,1896,GER,Greece,2,25,5,32,,,
6,1896,GRE,Greece,20,10,18,48,,,
7,1896,HUN,Greece,3,2,1,6,,,
8,1896,SUI,Greece,0,1,2,3,,,
9,1896,USA,Greece,2,11,7,20,,,
10,1900,AUS,France,3,3,0,6,,,
11,1900,AUT,France,3,0,3,6,,,
12,1900,DEN,France,2,4,3,9,,,
13,1900,FRA,France,82,52,101,235,,,
14,1900,GBR,France,15,59,34,108,,,
15,1900,GER,France,11,14,20,45,,,
16,1900,HUN,France,2,1,2,5,,,
17,1900,SUI,France,1,16,4,21,,,
18,1900,USA,France,17,30,16,63,,,
19,1900,BEL,France,13,6,24,43,,,
20,1900,BOH,France,2,0,1,3,,,
21,1900,CAN,France,1,1,0,2,,,
22,1900,COL,France,0,0,1,1,,,
23,1900,CUB,France,0,1,1,2,,,
24,1900,ESP,France,0,2,0,2,,,
25,1900,HAI,France,0,1,0,1,,,
26,1900,IND,France,0,0,2,2,,,
27,1900,ITA,France,0,3,2,5,,,
28,1900,LUX,France,0,1,0,1,,,
29,1900,MEX,France,3,0,0,3,,,
30,1900,NED,France,16,3,8,27,,,
31,1900,NOR,France,3,0,6,9,,,
32,1900,NZL,France,0,1,0,1,,,
33,1900,SWE,France,1,3,0,4,,,
34,1904,AUS,USA,1,0,3,4,,,
35,1904,AUT,USA,1,2,1,4,,,
36,1904,FRA,USA,0,0,2,2,,,
37,1904,GBR,USA,0,1,1,2,,,
38,1904,GER,USA,7,4,5,16,,,
39,1904,GRE,USA,1,1,0,2,,,
40,1904,HUN,USA,1,2,1,4,,,
41,1904,SUI,USA,2,1,0,3,,,
42,1904,USA,USA,125,128,141,394,,,
43,1904,CAN,USA,12,27,9,48,,,
44,1904,CUB,USA,0,5,0,5,,,
45,1904,NOR,USA,0,2,0,2,,,
46,1906,AUS,Greece,3,0,0,3,,,
47,1906,AUT,Greece,3,3,3,9,,,
48,1906,DEN,Greece,1,14,19,34,,,
49,1906,FRA,Greece,28,20,16,64,,,
50,1906,GBR,Greece,8,9,22,39,,,
51,1906,GER,Greece,6,14,10,30,,,
52,1906,GRE,Greece,30,24,48,102,,,
53,1906,HUN,Greece,3,5,5,13,,,
54,1906,SUI,Greece,1,8,3,12,,,
55,1906,USA,Greece,6,12,6,24,,,
56,1906,BEL,Greece,6,2,3,11,,,
57,1906,BOH,Greece,3,0,0,3,,,
58,1906,CAN,Greece,0,1,1,2,,,
59,1906,ITA,Greece,27,21,8,56,,,
60,1906,NED,Greece,5,0,1,6,,,
61,1906,NOR,Greece,0,20,5,25,,,
62,1906,SWE,Greece,14,2,5,21,,,
63,1906,FIN,Greece,1,2,1,4,,,
64,1908,AUT,UK,1,0,0,1,,,
65,1908,DEN,UK,3,0,14,17,,,
66,1908,FRA,UK,23,12,5,40,,,
67,1908,GBR,UK,90,147,131,368,,,
68,1908,GER,UK,6,4,11,21,,,
69,1908,GRE,UK,1,0,3,4,,,
70,1908,HUN,UK,6,7,7,20,,,
71,1908,USA,UK,15,34,16,65,,,
72,1908,BEL,UK,8,1,24,33,,,
73,1908,BOH,UK,6,0,0,6,,,
74,1908,CAN,UK,30,14,8,52,,,
75,1908,ITA,UK,0,2,6,8,,,
76,1908,NED,UK,16,0,0,16,,,
77,1908,NOR,UK,3,7,32,42,,,
78,1908,SWE,UK,18,48,18,84,,,
79,1908,FIN,UK,28,1,1,30,,,
80,1908,ANZ,UK,2,15,2,19,,,
81,1908,RSA,UK,0,1,1,2,,,
82,1908,RUS,UK,0,1,2,3,,,
83,1912,AUT,Sweden,5,0,9,14,,,
84,1912,DEN,Sweden,33,5,49,87,,,
85,1912,FRA,Sweden,5,10,11,26,,,
86,1912,GBR,Sweden,59,47,64,170,,,
87,1912,GER,Sweden,23,11,19,53,,,
88,1912,GRE,Sweden,1,1,0,2,,,
89,1912,HUN,Sweden,3,10,17,30,,,
90,1912,SUI,Sweden,0,2,0,2,,,
91,1912,USA,Sweden,36,46,25,107,,,
92,1912,BEL,Sweden,11,7,1,19,,,
93,1912,CAN,Sweden,3,3,2,8,,,
94,1912,ITA,Sweden,2,22,1,25,,,
95,1912,NED,Sweden,26,0,0,26,,,
96,1912,NOR,Sweden,34,40,6,80,,,
97,1912,SWE,Sweden,25,103,62,190,,,
98,1912,FIN,Sweden,22,9,40,71,,,
99,1912,ANZ,Sweden,3,5,2,10,,,
100,1912,RSA,Sweden,0,5,2,7,,,
101,1912,RUS,Sweden,9,0,5,14,,,
102,1920,AUS,Belgium,1,0,6,7,,,
103,1920,DEN,Belgium,1,26,44,71,,,
104,1920,FRA,Belgium,57,13,71,141,,,
105,1920,GBR,Belgium,17,52,42,111,,,
106,1920,GRE,Belgium,0,0,5,5,,,
107,1920,SUI,Belgium,21,6,2,29,,,
108,1920,USA,Belgium,38,111,45,194,,,
109,1920,BEL,Belgium,66,57,65,188,,,
110,1920,CAN,Belgium,3,10,3,16,,,
111,1920,ESP,Belgium,0,0,23,23,,,
112,1920,ITA,Belgium,8,67,9,84,,,
113,1920,LUX,Belgium,0,0,1,1,,,
114,1920,NED,Belgium,25,15,10,50,,,
115,1920,NOR,Belgium,27,58,52,137,,,
116,1920,NZL,Belgium,1,0,0,1,,,
117,1920,SWE,Belgium,64,52,38,154,,,
118,1920,FIN,Belgium,17,21,14,52,,,
119,1920,RSA,Belgium,6,3,12,21,,,
120,1920,BRA,Belgium,5,1,1,7,,,
121,1920,EST,Belgium,0,1,2,3,,,
122,1920,JPN,Belgium,0,0,3,3,,,
123,1920,TCH,Belgium,10,0,0,10,,,
124,1924,AUS,France,2,4,5,11,,,
125,1924,AUT,France,1,3,4,8,,,
126,1924,DEN,France,3,2,9,14,,,
127,1924,FRA,France,32,37,51,120,,,
128,1924,GBR,France,30,31,34,95,,,
129,1924,GRE,France,0,1,0,1,,,
130,1924,HUN,France,8,2,12,22,,,
131,1924,SUI,France,22,22,25,69,,,
132,1924,USA,France,50,98,46,194,,,
133,1924,BEL,France,11,3,30,44,,,
134,1924,CAN,France,1,9,19,29,,,
135,1924,HAI,France,5,0,0,5,,,
136,1924,IND,France,0,7,0,7,,,
137,1924,ITA,France,21,25,5,51,,,
138,1924,LUX,France,0,1,1,2,,,
139,1924,NED,France,18,8,1,27,,,
